Team Name ,Points 
Team Sentinals,13516
Team Rocket,12324
Thingkers,12223
Mean Girls,11606
Aks,11482
Light,11193
Syntax Squad,11191
TEAM HELIX,11074
Chorbazar,11046
8 balls,10731
swimmers,10076
Runtime Terrors,9137
Aether,8098
Best of 3,8065
3Phoenix,8033
Hello kitty,7196
Loser's team,6685
anwesha,6247
Team arpanet ,6157
Playx,4957
